Grafton,WORCESTER,"18,045",GRAFTON
Granby,HAMPSHIRE,"6,282",GRANBY
Granville,HAMPDEN,"1,605",GRANVILLE
Great Barrington,BERKSHIRE,"7,003",GREAT BARRINGTON
Greenfield,FRANKLIN,"17,553",GREENFIELD
Groton,MIDDLESEX,"11,017",GROTON
Groveland,ESSEX,"6,794",GROVELAND
Hadley,HAMPSHIRE,"5,270",HADLEY
Halifax,PLYMOUTH,"7,546",HALIFAX
Hamilton,ESSEX,"8,072",HAMILTON
Hampden,HAMPDEN,"5,156",HAMPDEN
Hancock,BERKSHIRE,716,HANCOCK
Hanover,PLYMOUTH,"14,151",HANOVER
Hanson,PLYMOUTH,"10,292",HANSON
Hardwick,WORCESTER,"2,995",HARDWICK
Harvard,WORCESTER,"6,530",HARVARD
Harwich,BARNSTABLE,"12,263",HARWICH
Hatfield,HAMPSHIRE,"3,275",HATFIELD
Haverhill,ESSEX,"61,797",HAVERHILL
Hawley,FRANKLIN,337,HAWLEY
Heath,FRANKLIN,706,HEATH
Hingham,PLYMOUTH,"22,520",HINGHAM
Hinsdale,BERKSHIRE,"2,010",HINSDALE
Holbrook,NORFOLK,"10,899",HOLBROOK
Holden,WORCESTER,"17,636",HOLDEN
Holland,HAMPDEN,"2,487",HOLLAND
Holliston,MIDDLESEX,"14,014",HOLLISTON
Holyoke,HAMPDEN,"40,135",HOLYOKE
Hopedale,WORCESTER,"5,930",HOPEDALE
Hopkinton,MIDDLESEX,"15,478",HOPKINTON
Hubbardston,WORCESTER,"4,426",HUBBARDSTON
Hudson,MIDDLESEX,"19,481",HUDSON
Hull,PLYMOUTH,"10,302",HULL
Huntington,HAMPSHIRE,"2,172",HUNTINGTON
Ipswich,ESSEX,"13,545",IPSWICH
Kingston,PLYMOUTH,"12,727",KINGSTON
Lakeville,PLYMOUTH,"10,861",LAKEVILLE
Lancaster,WORCESTER,"7,956",LANCASTER
Lanesborough,BERKSHIRE,"3,057",LANESBOROUGH
Lawrence,ESSEX,"77,326",LAWRENCE
Lee,BERKSHIRE,"5,898",LEE
Leicester,WORCESTER,"11,110",LEICESTER
Lenox,BERKSHIRE,"5,000",LENOX
Leominster,WORCESTER,"40,989",LEOMINSTER
Leverett,FRANKLIN,"1,867",LEVERETT
Lexington,MIDDLESEX,"32,272",LEXINGTON
Leyden,FRANKLIN,722,LEYDEN
Lincoln,MIDDLESEX,"6,503",LINCOLN
Littleton,MIDDLESEX,"9,132",LITTLETON
Longmeadow,HAMPDEN,"15,835",LONGMEADOW
Lowell,MIDDLESEX,"108,522",LOWELL
Ludlow,HAMPDEN,"21,195",LUDLOW
Lunenburg,WORCESTER,"10,847",LUNENBURG
Lynn,ESSEX,"91,253",LYNN
Lynnfield,ESSEX,"11,805",LYNNFIELD
Malden,MIDDLESEX,"60,374",MALDEN
Manchester By The Sea,ESSEX,"5,216",MANCHESTER BY THE SEA
Mansfield,BRISTOL,"23,414",MANSFIELD
Marblehead,ESSEX,"20,076",MARBLEHEAD
Marion,PLYMOUTH,"4,909",MARION
Marlborough,MIDDLESEX,"39,204",MARLBOROUGH
Marshfield,PLYMOUTH,"25,436",MARSHFIELD
Mashpee,BARNSTABLE,"14,005",MASHPEE
Mattapoisett,PLYMOUTH,"6,113",MATTAPOISETT
Maynard,MIDDLESEX,"10,304",MAYNARD
Medfield,NORFOLK,"12,219",MEDFIELD
Medford,MIDDLESEX,"57,033",MEDFORD
Medway,NORFOLK,"12,864",MEDWAY
Melrose,MIDDLESEX,"27,435",MELROSE
Mendon,WORCESTER,"5,876",MENDON
Merrimac,ESSEX,"6,517",MERRIMAC
Methuen,ESSEX,"48,009",METHUEN
Middleborough,PLYMOUTH,"23,395",MIDDLEBOROUGH
Middlefield,HAMPSHIRE,527,MIDDLEFIELD
Middleton,ESSEX,"9,267",MIDDLETON
Milford,WORCESTER,"28,184",MILFORD
Millbury,WORCESTER,"13,305",MILLBURY
Millis,NORFOLK,"7,995",MILLIS
Millville,WORCESTER,"3,198",MILLVILLE
Milton,NORFOLK,"27,158",MILTON
Monroe,FRANKLIN,121,MONROE
Monson,HAMPDEN,"8,679",MONSON
Montague,FRANKLIN,"8,420",MONTAGUE
Monterey,BERKSHIRE,955,MONTEREY
Montgomery,HAMPDEN,858,MONTGOMERY
Mount Washington,BERKSHIRE,166,MOUNT WASHINGTON
Nahant,ESSEX,"3,442",NAHANT
Nantucket,NANTUCKET,"10,298",NANTUCKET
Natick,MIDDLESEX,"33,760",NATICK
Needham,NORFOLK,"29,366",NEEDHAM
New Ashford,BERKSHIRE,227,NEW ASHFORD
New Bedford,BRISTOL,"94,929",NEW BEDFORD
New Braintree,WORCESTER,"1,018",NEW BRAINTREE
New Marlborough,BERKSHIRE,"1,498",NEW MARLBOROUGH
New Salem,FRANKLIN,"1,002",NEW SALEM
Newbury,ESSEX,"6,771",NEWBURY
Newburyport,ESSEX,"17,654",NEWBURYPORT
Newton,MIDDLESEX,"86,307",NEWTON
Norfolk,NORFOLK,"11,539",NORFOLK
North Adams,BERKSHIRE,"13,583",NORTH ADAMS
North Andover,ESSEX,"28,422",NORTH ANDOVER
North Attleborough,BRISTOL,"28,806",NORTH ATTLEBOROUGH
North Brookfield,WORCESTER,"4,682",NORTH BROOKFIELD
North Reading,MIDDLESEX,"15,254",NORTH READING
Northampton,HAMPSHIRE,"28,592",NORTHAMPTON
Northborough,WORCESTER,"14,724",NORTHBOROUGH
Northbridge,WORCESTER,"15,917",NORTHBRIDGE
Northfield,FRANKLIN,"3,034",NORTHFIELD
Norton,BRISTOL,"19,310",NORTON
Norwell,PLYMOUTH,"10,574",NORWELL
Norwood,NORFOLK,"28,780",NORWOOD
Oak Bluffs,DUKES,"4,642",OAK BLUFFS
Oakham,WORCESTER,"1,913",OAKHAM
Orange,FRANKLIN,"7,821",ORANGE
Orleans,BARNSTABLE,"5,881",ORLEANS
Otis,BERKSHIRE,"1,599",OTIS
Oxford,WORCESTER,"13,771",OXFORD
Palmer,HAMPDEN,"12,152",PALMER
Paxton,WORCESTER,"4,860",PAXTON
Peabody,ESSEX,"51,867",PEABODY
Pelham,HAMPSHIRE,"1,321",PELHAM
Pembroke,PLYMOUTH,"17,959",PEMBROKE
Pepperell,MIDDLESEX,"11,797",PEPPERELL
Peru,BERKSHIRE,852,PERU
Petersham,WORCESTER,"1,239",PETERSHAM
